date,trial,trial.time,site,temp.id,species,mass.pre,mass.post,temp.d1.pre,temp.d2.pre,flame.ht,flame.dur,temp.d1.post,temp.d2.post,vol.burned,notes
09/24/2020,1,9:54,Dickens.Top,jupi1,Juniperus pinchotti,89.5,77.7,104,93,2,0:22.32,96,94,2,
09/24/2020,2,10:06,Dickens.Top,rhtr1,Rhus trilobata,112.4,108,99,83,0,0:0,99,83,1,
09/24/2020,3,10:14,Dickens.Top,celtis1,Celtis laevigata,127.5,115.9,94,100,14,0:9.2,114,112,3,
09/24/2020,4,10:19,Dickens.Top,rhmI1,Rhus microphylla,123,113.5,105,104.3,12,0:13.67,117,120,10,
09/24/2020,5,10:43,Dickens.Top,alt1,,100.7,84,127.5,127.9,10,0:14.89,130,180,25,
09/24/2020,6,10:50,Dickens.Top,prgr1,Prosopis glandulosa,63.9,38,122,124.2,56,0:44.71,150,155,60,
09/24/2020,7,10:56,Dickens.Top,vine,,63.1,53,114.2,120,2,0:8.84,113,125,10,
09/24/2020,8,11:04,Dickens.Top,ziob1,Ziziphus obtusifolia,95.6,88.3,120,119.2,10,0:19.04,124,131,8,
09/24/2020,9,11:09,Dickens.Top,opp1,,43.8,38,124.6,125,0,0:0,125,132,20,
09/24/2020,10,11:13,Dickens.Top,jupi2,Juniperus pinchotti,317.1,281.3,117.5,125,21,0:39.2,120,131,4,
09/24/2020,11,11:23,Dickens.Top,dafo1,Dalea formosa,41.7,39,135.1,134.4,0,0:0,133,132,2,
09/24/2020,12,11:28,Dickens.Top,rhtr2,Rhus trilobata,86.6,70.6,136,126,8,0:5.14,135,135.6,8,
09/24/2020,13,11:33,Dickens.Top,opp2,,77.2,66.1,132.6,137.3,14,0:15,133,142,15,
11/1/2020,1,11:57:00,Dickens,JUPI1,Juniperus pinchotti,433.2,409.7,141.1,131.1,2,0:12,141.2,131.1,3,
11/1/2020,2,12:01:00,Dickens,JUPI1,Juniperus pinchotti,400.7,67.8,142,135,81,5:07,402,352,92,* [REBURN] reburn of trial 1 with JUPI 1 sample
11/1/2020,3,12:37:00,Dickens,PRGL1,Prosopis glandulosa,81.5,51.1,145.7,145.7,51,0:38,160,210,85,
11/1/2020,4,12:44:00,Dickens,JUPI2,Juniperus pinchotti,288.9,159,145,143.1,63,4:32,156,228,45,
11/1/2020,5,12:56:00,Dickens,PRGL2,Prosopis glandulosa,75.8,51.3,158.1,157.7,63,0:55,175,195,85,
11/1/2020,6,13:04:00,Dickens,JUPI3,Juniperus pinchotti,190.8,141.5,145.7,141.6,38,2:08,137,165.8,10,
11/1/2020,7,13:11:00,Dickens,PRGL3,Prosopis glandulosa,70.1,64.2,149.6,150,6,0:19,158.4,159.8,5,
11/1/2020,8,13:17:00,Dickens,JUPI4,Juniperus pinchotti,420,73.9,138.2,120.2,102,3:25,440,376,95,
11/1/2020,9,13:36:00,Dickens,PRGL4,Prosopis glandulosa,89.8,68.5,149.6,145.6,44,0:21,172.4,190.4,50,
11/1/2020,10,13:42:00,Dickens,JUPI5,Juniperus pinchotti,242.9,215.7,149.1,150.3,0,0:0,149,150,1,* [DNI] did not ignite
11/1/2020,11,13:47:00,Dickens,PRGL5,Prosopis glandulosa,69.6,60.7,151,151.3,17,0:20,156.6,169.5,30,
11/1/2020,12,13:52:00,Dickens,JUPI6,Juniperus pinchotti,323.5,323.5,150,149.5,0,0:0,140.7,148.6,1,* [DNI] did not ignite - missing data for mass.post but assumed same as mass.pre
11/1/2020,13,14:04:00,Dickens,PRGL6,Prosopis glandulosa,91.2,69.1,169,153,63,0:26,168.6,180.1,20,
11/1/2020,14,14:10:00,Dickens,JUPI7,Juniperus pinchotti,405.2,108,134,126.2,90,3:21,318,403.7,95,
11/1/2020,15,14:27:00,Dickens,PRGL7,Prosopis glandulosa,72.9,60.3,152.6,145,43,0:08,155.6,189.6,30,
11/1/2020,16,14:33:00,Dickens,JUPI8,Juniperus pinchotti,211,157.1,135,152.1,56,2:08,142.4,218.7,15,
11/1/2020,17,14:39:00,Dickens,PRGL8,Prosopis glandulosa,76.4,54.2,154.4,159.4,65,0:32,170,201.4,55,
11/1/2020,18,14:47:00,Dickens,JUPI9,Juniperus pinchotti,182.3,28.3,151.2,153.3,42,7:19,230.1,196.9,95,* [SPONTANEOUS] Spontaneous combustion during preheating
11/1/2020,19,14:59:00,Dickens,PRGL9,Prosopis glandulosa,100.1,71.3,159.7,154.3,54,0:51,194,249.7,60,
11/1/2020,20,13:55:00,Dickens,JUPI6,Juniperus pinchotti,323.5,48.6,159.7,154.3,71,5:05,280.7,277.3,95,* [REBURN] reburn of trial 12 with JUPI6
06/27/2020,1,11:23:00,E19,616,Rhus virens,224,36,157.3,160.4,28,00:14.25,260,250,90,
06/27/2020,2,11:34:00,e15,590,Arbutus xalepensis,110,70,158.6,169.7,24,00:53.99,175,175,40,
06/27/2020,3,11:44:00,E17,,Juniperus ashei,182.3,28.3,160.2,167.1,47,02:46.31,246,281,90,
06/27/2020,4,11:56:00,e17,,Quercus buckleyi,100.7,50,163.1,166.5,60,00:18.46,216,227,55,
06/27/2020,5,12:01:00,e17,504,Quercus laceyi,53.8,30,170,175.8,37,00:26.09,175.7,204.1,25,
06/27/2020,6,12:10:00,e13,,Sophora secundiflora,93.1,44.8,162.2,170.2,58,00:27.81,189.2,241.1,90,
06/27/2020,7,12:18:00,,618,Quercus sp,34.9,16.3,162.2,179.2,29,00:11,203.3,204.2,90,
06/27/2020,8,13:01:00,e13,,Arbutus xalepensis,100.1,68.6,167.5,177.5,12,00:47.25,186,191.8,10,
06/27/2020,9,13:09:00,e13,,Quercus buckleyi,123.7,78.8,187.2,194.2,72,00:24.05,216.1,254.1,80,
06/27/2020,10,13:14:00,e15,,Juniperus ashei,118.9,17,183.5,201.5,70,01:23.47,267.1,274.8,90,
06/27/2020,11,13:20:00,,617,Cercis canadensis,30.2,20.3,186.2,169.1,28,00:27.45,187.4,213.5,70,
06/27/2020,12,13:26:00,e15,,,57.5,35.1,169,197.4,39,00:9.2,191.7,226.6,85,
06/30/2020,13,11:21:00,e24,,Condalia sp,57.4,53.8,94.4,97.4,6,00:18.47,102.8,120.9,5,
06/30/2020,14,11:27:00,e24,,Diospyros texana,101,90.2,137.8,132.1,16,00:8.42,131,130.9,5,
06/30/2020,15,11:33:00,,595,Cotinus obovatus,56.4,50.1,148.5,140.5,11,00:10.29,144.5,171.7,5,
06/30/2020,16,11:37:00,e24,,Mahonia trifoliata,58.8,44.5,153.1,171.2,26,00:31.42,157.6,173,30,
06/30/2020,17,11:42:00,,593,Juniperus ashei,284.7,158,144.4,146.4,43,01:40.86,164,222,30,
06/30/2020,18,11:54:00,,591,Quercus fusiformis,83.1,69.1,156.8,161.7,13,00:13.91,160.2,169.6,5,
06/30/2020,19,11:58:00,,651,Pinus remota,133.2,71,161.9,153,23,00:27.09,185,203,60,
06/30/2020,20,12:06:00,e24,,Juniperus ashei,224,32.9,160.2,171.1,79,03:00.63,260,276,95,
06/30/2020,21,12:20:00,Bandera-2020-29,,Quercus fusiformis,96.9,85.1,180.8,173.5,30,00:28.8,180,205,5,
06/30/2020,22,12:26:00,Bandera-2020-29,,Juniperus ashei,146,79.4,157.6,174.8,63,01:05.41,185,225,50,
