variables,type,unit,description
sample_id,character,,unique id for each sample
species_id,character,,unique id for each species
burn.date,character,,burning date
trial,numeric,,sequencial number of trials
time,character,,the time when the sample put on the grill for pre heating
rh,numeric,percentage,"measured by Nielsen Kellerman,Kestrel-3000 weather meter"
windspeed,numeric,miles per hour,"measured by Nielsen Kellerman,Kestrel-3000 weather meter"
air.temp.F,numeric,fahrenheit,"measured by Nielsen Kellerman,Kestrel-3000 weather meter"
mass.pre,numeric,gram,weight of 70 cm samples right before burning
mass.post,numeric,gram,weight of 70 cm samples after burn
temp.d1.pre,numeric,degree celsius,"Disk one, measured by Fluke 572-2 IR Thermometer, measured right before ignition period"
temp.d2.pre,numeric,degree celsius,"Disk two, measured by Fluke 572-2 IR Thermometer, measured right before ignition period"
flame.ht,numeric,centimeter,"measured by a scale attached with the barbecue apparatus, visually estimated the maximum height of the flame of each trial"
flame.dur,numeric,seconds,The burning period after ignition.
temp.d1.post,numeric,degree celsius,"Disk one, measured by Fluke 572-2 IR Thermometer, measured after flame stopped"
temp.d2.post,numeric,degree celsius,"Disk two, measured by Fluke 572-2 IR Thermometer, measured after flame stopped"
vol.burned,numeric,percentage,"estimated visually , percentage of area burned"
max.temp,numeric,degree celsius,"measured by Fluke 572-2 IR Thermometer, pointing the gun at the burning site after the flame disappeared"
