sample_id,species_id,date,trials,trial_time,windspeed_miles_per_hour,mass_pre,mass_post,temp_d1_pre,temp_d2_pre,flame_height,flame_duration,temp_d1_post,temp_d2_post,vol_burned,max_temp,ignition_delay,self_ignition,air_temp_f,rh,self_ig_dur_sec,self_ig_starting_time,notes
ED45,1022,5/18/2022,3,10:09,1.9,252.2,35.7,151.4,142.5,75,315,244.1,216,90,384,14,1,84,32,10,81,
ED46,1036,5/18/2022,1,10:00,1.7,218.8,135.2,150.6,140.9,56,44,156,144.2,8,,7,0,84,32,,,
ED47,2010,5/18/2022,8,10:47,2.2,51,45.8,165.5,154.2,33,7,159.5,154,5,160.4,2,0,84,32,,,
ED48,2010,5/18/2022,9,10:52,2.1,51,41.4,158.9,142.6,20,5,159.9,144.5,2,160.3,2,0,84,32,,,
ED49,2010,5/18/2022,11,11:01,2.9,40.7,34.2,152.9,141.6,30,8,148,137.9,4,155,1,0,84,32,,,
ED50,2010,5/18/2022,5,10:27,2.7,43,38,154.7,137.2,34,10,139.7,128.4,3,130.7,2,0,84,32,,,
ED51,2010,5/18/2022,6,10:35,3.2,83.4,64.9,149,132.2,40,7,156.2,153.6,15,156,2,0,84,32,,,
ED52,2010,5/18/2022,10,10:57,2.3,66.1,48.5,154.3,143.4,27,6,149.2,138.3,2,152.1,1,0,84,32,,,
ED53,1021,5/18/2022,4,10:20,2.3,130.2,73.1,152.4,134,45,161,154.5,161.8,25,167.2,3,0,84,32,,,
ED54,1036,5/18/2022,2,10:04,2.3,94.6,71.2,157.2,148.7,30,8,154.5,142.5,30,154.7,5,0,84,32,,,
ED55,1021,5/18/2022,7,10:40,2.9,140.9,80.2,161.2,155.6,53.5,60,167.2,180.4,50,202,2,0,84,32,,,
UV01,1022,5/29/2022,13,10:16,3.7,283.9,37.4,166.2,152.7,89,232,243.1,266.3,90,304.7,6,1,84.1,26.2,266,86,ignited with blowtorch though self ignited
UV02,1021,5/29/2022,21,11:08,4.1,239.9,83.9,151.8,148,71,155,204,240.4,75,257,4,0,88.4,18.2,,,
UV03,1036,5/29/2022,28,11:58,5.1,258.1,118.1,144.6,141.5,62,70,178.7,226.6,60,239,9,0,92.7,10.5,,,
UV04,1021,5/29/2022,17,10:45,6.2,203.6,71.6,156.2,141.4,52,161,187.2,227.1,80,145.4,6,0,85.9,25.4,,,
UV05,1036,5/29/2022,14,10:26,5.1,180.8,103.5,166.4,148.9,52,60,159.9,151.7,10,154.7,15,1,84.2,24.8,5,61,self ignition stoppped before the completion of preheating 
UV06,1000,5/29/2022,18,10:53,5.8,75.9,45.5,162.9,160,46,15,167.2,160,12,195.4,2,0,86.2,22.1,,,
UV07,2010,5/29/2022,20,11:03,3.6,47.7,34.5,160.6,151,36,10,164,161.8,10,167,2,0,87.6,20.3,,,
UV08,1000,5/29/2022,12,10:08,4.4,70.7,48.6,150.6,138,48,20,155.1,158.7,10,158.7,2,0,83.5,27.4,,,
BD20,1022,5/29/2022,22,11:16,5.2,353.6,29.1,154.6,158.4,61,240,216.8,209,90,302,22,1,89.6,16.8,10,45,self ignition stoppped before the completion of preheating 
BD21,1000,5/29/2022,26,11:47,4.2,153.1,134.4,148.7,150.8,31,9,145.2,149.1,4,150.4,1,0,91.6,10.6,,,
BD22,1002,5/29/2022,16,10:40,6.1,28.7,19.6,153.4,135.6,31,19,159.6,150.5,6,158.6,2,1,85.6,23.6,6,111,self ignition stoppped before the completion of preheating 
BD23,2022,5/29/2022,25,11:42,8.1,183.4,134,143.8,139.7,62,22,146.6,171.2,10,181,3,1,91,10.9,11,89,self ignition stoppped before the completion of preheating 
KD01,2038,5/29/2022,24,11:34,6,73.4,40.2,141.1,147,41,37,138.6,133.8,7,146.8,2,0,91.3,13.2,,,
KD02,3000,5/29/2022,23,11:29,6.2,90.8,55.9,140,143.1,42,27,152,172.5,25,173,2,0,90.4,14.6,,,
KD03,3000,5/29/2022,27,11:53,4.5,97.7,86.1,150.3,146.5,33,8,142.2,143.3,3,145.2,2,1,92.1,10.1,21,8,self ignition stoppped before the completion of preheating 
KD04,2005,5/29/2022,30,12:33,8.1,21.2,14.2,157.4,143.6,32,7,162.7,154.5,5,163,1,0,92.5,10.4,,,
KD05,1036,5/29/2022,31,12:38,6.8,144.3,121.1,141.2,138.9,30,11,133.2,134.3,2,135.7,3,0,92.1,9.8,,,
KD06,1000,5/29/2022,19,10:58,3.3,77,47.1,150.3,139.2,48,11,158.6,140.3,12,167,2,0,87,21.2,,,
KD07,1022,5/29/2022,29,12:08,4.7,443,32,154.5,157.5,73,197,273.4,271.8,92,339,32,1,92.3,10.5,30,38,self ignition stoppped before the completion of preheating 
KD08,1002,5/29/2022,32,12:43,5.2,120.6,71.5,151.3,141.8,64,62,186.5,200,60,206,3,0,93.2,10.3,,,
KD09,2022,5/29/2022,33,12:49,6.3,120.9,96.1,162.6,167.3,33,35,162.7,158.7,8,167,2,0,93.5,9.7,,,
KD10,1113,5/29/2022,34,12:54,7.2,237,182.5,161.8,148.2,55,48,179.8,200,20,226,0,1,94.1,9.4,48,18,didn't ignite since the self ignition consumed all the leaves
KD11,2006,5/29/2022,35,12:59,7.7,190.6,166.5,152.5,146.3,30,15,146.1,133.2,3,148.3,2,0,92.5,9.8,,,
KD12,2007,5/29/2022,15,10:33,3.2,150.6,138.6,152.9,141.7,30,7,158.2,144.3,5,159.7,3,0,84.7,26.4,,,
